token,count,example
blaberid,5,[Defeat the blaberid shells seasoned with blue glut]
lady-in-waiting,5,"""Isn't that the meek little lady-in-waiting that was assigned to my shereen? Looks like she's lost the Lord Captain too... and her sanity to boot."""
vox-connection,5,"""Lord Captain, we have established a vox-connection with the captain of the Heartless. He says the ship and her crew serve you faithfully while protecting the d"
archival,5,"""Lord Captain, I humbly request an audience with you. Proctor Anthar is interfering with the crew and is demanding to see all the archival records of fugitive c"
cyber-beast,5,Are you looking to treat your cyber-beast to something special?
wilger,5,"The vox plays the log of the most recent messages: ""353rd Company, come in! This is Private Wilger. I've lost my unit. I've been wandering in this infernal carg"
self-importance,5,"""Elevated self-importance? Me?"""
th-the,5,"""Th-the Administratum? No! Let me finish the inventory, or kill me... What do I have to sign?"""
cogni-shackles,5,"The man announces in a mechanical voice: ""Supreme ordinance: the arrival of the head of the von Valancius dynasty with the purpose of extraction of the tithe tr"
molles-secundas's,5,Presided over the trial of Lady Molles-Secundas's case and allowed the criminal's husband to decide the fate of those who had wronged him.
ever-changing,5,"The prefect lets out a cough. Then, an unnerving smile appears on her lips. ""I at least had to try. I served the von Valancius protectorate faithfully for over "
ack,5,"""In the ice-bound lake of tears, you will find what has been lost, but will you find peace? Death has a single eye that watches from the darkness of the ages, b"
februs's,5,"""Registering Category Three and Category Five manifold sacrilege. I demand a review of Genetor Februs's status and the implementation of expiative diagnostics t"
all-comprehending,5,"Against all odds, the old data-slate activates in your hands. It displays only a sequence of text entries that repeats over and over again: ""Mark this: the Omni"
vox-scribe,5,"You command the search for the xenoruins located at the coordinates in the vox-scribe found near the sarcophagus, yet the augurs fail to penetrate the tangle of"
khroshovach,5,"The extracted vox-recording is delivered aboard your flagship, where your servants manage to restore it. In it, Private Ruban Khroshovach reports that the 32nd "
elana's,5,"""Your affairs? Shouldn't that be Elana's affairs?"""
great-grandfather,5,"""Really? The founder of our family line was called Kunrad — my great-grandfather. You have crossed paths with my descendant?"""
vox-array,5,An entire vox-array has been cleverly concealed behind the outer portion of the ferrogranite slab. The level of delicacy required to place the device discreetly
decabalus's,5,"Decabalus's optical sensor lumens flare for a second, before fading away completely. Without a sound, the Tech-Priest, clearly resigned to the demise of himself"
human-made,5,"""Lord Captain, there are signs of human activity. The planet is inhabited — large concentrations of people detected. Human-made structures too, albeit crude one"
wyrd,5,"""Do not grieve, Aett-Vater! A great deed awaits you: the recovery of the ancient scroll of rights, inscribed by the Allfather's own hand! What a glorious saga, "
kurnous,5,Strike of Kurnous
hann's,5,"The Navigator fearlessly guides his ship directly into the anomaly, and soon all consumed vessels begin to emerge from it. The anomaly dissipates, releasing Han"
malpian,5,Malpian Shroud
malateks,5,The inhabitants of Janus are restless. The malateks may prepare for the coming storm by studying xeno-artefacts and using them in the construction of weapons.
electoo,5,It is possible to utilise all of Kiava Gamma's potential by covering its surface in a huge electoo — the whole world will be wrapped in a grandiose potentia coi
skitarius,5,The Adeptus Mechanicus are concerned about the recent outbreak of heresy on Kiava Gamma. They offer to enter into a solemn alliance with House von Valancius. Un
empathic,5,Empathic Strike
vox-link,5,"""I do apologise, Your Lordship, but we were unable to receive your request for evacuation. The vox-link was overrun with vile interference — screams, blasphemou"
reg,5,"""///[INPUT] || [Pack.comp.] ///nom_OS STAB TRUE ///nom_OS STAB FALSE ///stat.check init. ... ... ///Perturb. reg. ///Disturb. reg. ///nom_OS operat.resp. QUERY"""
tenebrous,5,"""Rogue Trader, you took advantage of my wretched position, forced me to board your vessel under fear of death, and now you stand there, expecting my cooperation"
optimate,5,"The mutilated man does not stir, bound in his shackles. The plaque near his head reads: ""Most Holy Prophet and Optimate Aati Shan."""
vekhari,5,"""Come in. Come in, escort. This is Captain Vekhari. Escort, please, come in!"""
illiridos,5,"""My name is Marazhai Aezyrraesh. Dracon of the Kabal of the Reaving Tempest. First blade to Lady Yremeryss. Eviscerator of Illiridos, Blaze of the Barkhag Kingd"
barkhag,5,"""My name is Marazhai Aezyrraesh. Dracon of the Kabal of the Reaving Tempest. First blade to Lady Yremeryss. Eviscerator of Illiridos, Blaze of the Barkhag Kingd"
wracks,5,"""I think you're right, Your Lordship. Reason has fled me, I can't hold out — even now, I can see the marsh where Tacitus vanished just behind you..."" The man's "
sonatus's,5,"""Zander Sonatus's Courier Service! A letter for you!"""
must've,5,"""It's not that! Didn't you hear? The Liege's palace received boxes of real vegetables! So they must've made the nutribars out of better stuff too!"""
xenobeast,5,"""What a bizarre breed of xenobeast. I've never heard of this kind of abomination before. I wonder what planet it's from."""
r-really,5,"""R-really?"" The wretch cannot believe his ears. ""Right away! Follow me and don't lag behind. And be very, very quiet! The Nightmares roam the streets, trust me,"
nolla's,5,"""I witnessed her demise with my own eyes, for on that day I was singing praise to the glory of the God-Emperor with other servants of the Ecclesiarchy. At sunse"
vesti's,5,"After consulting his officers, the Lord Captain issued new orders for Vesti's unit."
fosterlings,5,"""You will return to the arena of the Fatal Thirst. You will kill a few of the Wyches' fosterlings for me. You might even spill the blood of one of the Bloodstai"
untranslatable,5,"When Harlequin's voice fades, the silence is broken by a torrent of untranslatable but highly expressive xenos profanities — Marazhai has regained the power of "
flesh-eating,5,"""You... useless, arrogant, soon-to-be dead mon-keigh! The trial is almost complete, and when the judgement is pronounced, I will gut you, fill your bowels with "
aishara's,5,"Aishara's voice cuts through the static: ""We read you, strike team. This is lift control. Report your status."""
triune,5,"""This one will be the last. What you in your ignorance brazenly call shards is in truth a triune relic, the seat of the great spirit of the Edge of Daybreak, on"
salutatory,5,"""Salutatory functionality initialised. Glory to House von Valancius. Trading terminal Zeta-42//33-Mu ready to perform the designated function. Glory to the Omni"
caked-on,5,The cage bars and floor are covered in caked-on blood.
i-i,5,"""I-I humbly beg your forgiveness for the foolishness of this ruler's words, for the Deadlands do indeed spread as far as the eye can see... However, this ruler'"
refractive,5,"""If the crypt itself, or whatever took control of it, can manifest such things at will... we cannot contain it. The refractive transmuter is as nothing against "
malefice,5,[Place your palm on the Malefice symbol]
hagiography,5,"""Oh, if I only knew! Neither the hagiography nor the legends give a straight answer. Classical iconographers believed that the star turned into a banner woven f"
battle-brothers,5,"""We had gone on a raid for xenos prisoners and fell into a trap. We had no war machines to support us, and some of our squad were wounded, so we were forced to "
ignilf,5,"""When we stood over the body of my brother Ignilf... you spoke true words. You brought my home back to my mind. And then I knew that I was not ready to abandon "
lockdown,5,"All the panel says is, ""Emergency lockdown engaged. Officer access key required."""
statio,5,Statio Biologica
magnus,5,Extractium Metallica Magnus
tavanti,5,"""I am loath to hinder the Quest for Knowledge. Invite Oksilda Tavanti."""
halchyon,5,"""Some retch by the name of Khegh has come out of the wilderness to meet our people. It is hard to understand him, but he has managed to explain to the soldiers "
regias,5,Private Camille Regias
ghostwolf,5,Eagle-Eyed Ghostwolf
decrypted,5,"""The satellite Zafireh the Keen reports that a ship drifting nearby has hurriedly sped away. The ship had sent an encrypted vox-transmission to the insurgent-co"
fianc,5,"Jaspar clasps his fiancée's hand firmly. ""To the abyss with this masquerade! The whole place's gone insane and here I am, dressed in civvies and without my vox-"
setthalas,5,"""House Orsellio need not know what is taking place here. The Navigators are frightened enough by its power as it is. The last experiment left three from the Set"
sibilance,5,"""The Thirteenth Universal Law attests to the truth of your words. The knowledge of the ancients is above questioning. However, drawing the line between the anci"
godierda,5,"""M-Master-at-Arms! Lieutenant Godierda, ready to present a report as you—"""
menas,5,Menas
brasswhisper's,5,"""You are looking for Archmagos Amarnat, you say?"" Something clicks inside Brasswhisper's mask, and his voice becomes louder and harsher as if coated in liquid m"
obscuratoria,5,"""An Obscuratoria is a complete ban on holy ministry within the compound. Any and all sacred maintenance procedures are deferred until after the ban is lifted. A"
agoniser's,5,"""You already know what I am talking about... otherwise, you would never have agreed to experience the agoniser's caress. In the depths of pain, you find morsels"
requiescator,5,"""Why is a Requiescator speaking for the late Forius? Does the man not have a family?"""
middleware,4,Middleware
pathfinderwiki,4,The setting glossary contains information compiled and summarized by the volunteer editors of pathfinderwiki.com. We would like to thank them for their contribu
pathfinder,4,The setting glossary contains information compiled and summarized by the volunteer editors of pathfinderwiki.com. We would like to thank them for their contribu
clean-up,4,Clean-up & Painting
darrazand,4,"Suture, Minion of Darrazand"
artbook,4,Gear up for Koronus Expanse with additional in-game items and digital goodies! This pack includes: -OST The full collection of our fabulous in-game tracks. Enjo
starship,4,"Unlock two major story expansions for Warhammer 40,000: Rogue Trader in one bundle. Explore a starship graveyard warped by madness and face the Necrons. New loc"
canis,4,Fulgur/Phobos/Sarama/Karnon/Magnum/Fenr/Rage/Bellon/Cerberas/Sargathe/Garm/Fahmlus/Maera/Crudele/Canis
dual-weapon,4,Dual-Weapon Combat
subductor's,4,"An Arbitrator with the Subductor specialisation has the passive ability, Ruthless Suppression, which grants the Arbitrator and their familiar immunity to critic"
versa,4,Trophies on the right side of the trophy window go to your inventory — such items can be used or equipped by your characters. Trophies on the left are packed up
comrade-in-arms,4,"A true expert in the strategies of the Vigilant, Proctor Solomorne Anthar of the Adeptus Arbites excels in tactical combat, using a shield and a shotgun. His lo"
monocular,4,(5 × number of Seneschal's monocular stacks)
long-term,4,"Always in the thick of battle, using their leadership and combat prowess, Master Tacticians are able to harness the momentum of their party to enhance the comba"
monofilament,4,Monofilament Grenade
high-level,4,"""Void Shadows"" is the first major story expansion for Warhammer 40,000: Rogue Trader, offering a massive amount of content with about 15 hours of fresh gameplay"
iconic,4,"""The Infinite Museion"" is the third story expansion for Warhammer 40,000: Rogue Trader, drawing you into the iconic vault of Trazyn the Infinite. Pursue rare ar"
elina's,4,You spared Lady Navigator Elina's life after her attempted assassination of Cassia Orsellio.
bakhval,4,You learned the code phrase for Ryzza of Footfall from Bakhval on Rykadi Philia.
heretech,4,Heretech
primarch,4,"For many, these holy warriors are paragons of virtue and duty, for the Blood Angels unfailingly uphold the precepts of Primarch Sanguinius, which state that onl"
aptus,4,"Planets are graded from Aptus Non, meaning no tithe collected, to Exactis Extremis, the harshest of tax burdens."
exactis,4,"Planets are graded from Aptus Non, meaning no tithe collected, to Exactis Extremis, the harshest of tax burdens."
decuma,4,"It is usually categorised by type of planet, using a tiered system of both ""classes"" (Exactis, Decuma, or Solutio) and ""degrees"" (Extremis, Particular, Prima, S"
prow-mounted,4,The section of a voidship where prow-mounted weapons can be installed.
brand-new,4,"Mercenaries are special characters that you can create and add to your party. While playing in co-op mode, you can either control one of the Rogue Trader's comp"
non-temporary,4,"Whenever a character loses a large portion of their wounds, they might suffer permanent negative effects known as injuries and traumas. If a character's wounds "
cameleoline,4,Cameleoline Cloak
tesseract,4,Tesseract Labyrinth
mu-rho,4,"When the servants of the Omnissiah assembled the parts of this ancient mechanism, quiet clicks sounded from within and the cogs stirred into motion. The metal p"
khepri,4,Cradle of Khepri
fortis,4,Fortis Porta
tenebris,4,Tenebris Aquae
mortus,4,Lapidus Mortus
glasscrete,4,Glasscrete Barrier
klaive,4,Incubus Klaive
standard-issue,4,Standard-Issue Munitorum Sapper Shovel
long-las,4,Exitus Long-Las
sol-pattern,4,[Sol-Pattern] Meltagun
smiter,4,Smiter
subskin,4,Forge world characters choose one augmentation system from the following list: -Subskin Armour: grants +(5 + 2 × TGH bonus)% armour. -Locomotion System: grants 
biomancers,4,"Biomancers specialise in manipulating biological energy and processes with the power of their minds. They are masters of the flesh, learning to shape and influe"
webbers,4,Targets of the webbers must pass an Agility resistance test with a +10 bonus or become immobilised.
all-encompassing,4,All-Encompassing Agony
well-trained,4,"A Soldier is a master of all ranged weapons, quickly able to assume an advantageous position, from where they stand ready to rain fire on the enemy. While well-"
suppressive,4,Suppressive Fire
chainmail,4,Chainmail
teleport,4,"Requires Heretical — Votary The wearer of this cloak gains a psychic power, which allows them to sacrifice (from 3 to 9) wounds to immediately teleport to any c"
greaves,4,Bladedancer's Greaves
unsleeping,4,Unsleeping Eye
parvus,4,Azura Parvus
armaplas,4,Cadian-Pattern Armaplas Moulds
phylactery,4,Gilded Phylactery
all-pervading,4,"A voidship is under constant threat from innumerable dangers, from lawless pirates and strange xenos in realspace to ravenous daemons and all-pervading corrupti"
subspecies,4,Navigators are a unique human subspecies that possess the so-called Navigator gene known since the Dark Age of Technology. These sanctioned mutant nobles have a
channeller,4,WARP CHANNELLER
sublicense,4,"""WARHAMMER 40,000: ROGUE TRADER"" EULA IMPORTANT NOTICES PLEASE READ THE FOLLOWING END USER LICENSE AGREEMENT (""EULA"") CAREFULLY BEFORE DOWNLOADING, INSTALLING O"
video-sharing,4,"""WARHAMMER 40,000: ROGUE TRADER"" EULA IMPORTANT NOTICES PLEASE READ THE FOLLOWING END USER LICENSE AGREEMENT (""EULA"") CAREFULLY BEFORE DOWNLOADING, INSTALLING O"
sublicensing,4,"""WARHAMMER 40,000: ROGUE TRADER"" EULA IMPORTANT NOTICES PLEASE READ THE FOLLOWING END USER LICENSE AGREEMENT (""EULA"") CAREFULLY BEFORE DOWNLOADING, INSTALLING O"
decompiling,4,"""WARHAMMER 40,000: ROGUE TRADER"" EULA IMPORTANT NOTICES PLEASE READ THE FOLLOWING END USER LICENSE AGREEMENT (""EULA"") CAREFULLY BEFORE DOWNLOADING, INSTALLING O"
royalty-free,4,"""WARHAMMER 40,000: ROGUE TRADER"" EULA IMPORTANT NOTICES PLEASE READ THE FOLLOWING END USER LICENSE AGREEMENT (""EULA"") CAREFULLY BEFORE DOWNLOADING, INSTALLING O"
sublicensable,4,"""WARHAMMER 40,000: ROGUE TRADER"" EULA IMPORTANT NOTICES PLEASE READ THE FOLLOWING END USER LICENSE AGREEMENT (""EULA"") CAREFULLY BEFORE DOWNLOADING, INSTALLING O"
automatical,4,"""WARHAMMER 40,000: ROGUE TRADER"" EULA IMPORTANT NOTICES PLEASE READ THE FOLLOWING END USER LICENSE AGREEMENT (""EULA"") CAREFULLY BEFORE DOWNLOADING, INSTALLING O"
error-free,4,"""WARHAMMER 40,000: ROGUE TRADER"" EULA IMPORTANT NOTICES PLEASE READ THE FOLLOWING END USER LICENSE AGREEMENT (""EULA"") CAREFULLY BEFORE DOWNLOADING, INSTALLING O"
jurisdictions,4,"""WARHAMMER 40,000: ROGUE TRADER"" EULA IMPORTANT NOTICES PLEASE READ THE FOLLOWING END USER LICENSE AGREEMENT (""EULA"") CAREFULLY BEFORE DOWNLOADING, INSTALLING O"
hereunder,4,"""WARHAMMER 40,000: ROGUE TRADER"" EULA IMPORTANT NOTICES PLEASE READ THE FOLLOWING END USER LICENSE AGREEMENT (""EULA"") CAREFULLY BEFORE DOWNLOADING, INSTALLING O"
macro-battery,4,Mars-Pattern Macro-Battery (Extended)
falchion-class,4,The Falchion-class frigate is a more advanced and modern design that was developed only five centuries ago but has already proven to be as good as veteran friga
sword-class,4,The Falchion-class frigate is a more advanced and modern design that was developed only five centuries ago but has already proven to be as good as veteran friga
megatonnes,4,The Falchion-class frigate is a more advanced and modern design that was developed only five centuries ago but has already proven to be as good as veteran friga
survivability,4,"The Sword-class frigate is a classic voidship design, proven in thousands of battles, combining decent firepower, high speed, and respectable survivability. Est"
kinesiostatic,4,number of kinesiostatic shield stacks
webber's,4,Resistance tests against this webber's effects suffer a −10 penalty.
severalfold,4,"All the best minds in the service of House von Valancius took up the study of thassertium. Numerous uses were soon found for the natural psy-focus, but the jubi"
otherness,4,"The unit Abel Haneumann continued his service to the Amarnat Collective. In unity with five companion minds, he rediscovered the joy of direct cognitive communi"
cegorach,4,"Marazhai Aezyrraesh, exile from Commorragh and murderer of his own Kabal, did not remain in the Rogue Trader's retinue for long. Broken by his many losses and u"
pure-hearted,4,"Decades later, Tech-Interrogator Brasswhisper confronted a cartel of Cold Traders who had defiled the Adeptus Mechanicus regalia and executed a powerful crimina"
outmatched,4,"Vizsier Kibellah of the Bloodspun Web performed a great reading of the Emperor's Tarot, and the card of the Knight showed her cult a new path and a new teaching"
xenodisease,4,"Voidfarers shared grim tales about the von Valancius flagship. Monsters dwelt in the bowels of the vessel, they whispered, and from time to time, the servants o"
reinheld,4,"""Your Lordship, what an honour this is! The whole of Footfall is talking about your arrival! I am Reinheld Razzimus, head of the local Armourers' Guild. I'd be "
bartholomeus,4,"This artefact from the collection of Bartholomeus Ort resembles a gemstone covered in a delicate web of fine cracks. The words, ""Make another's pain your weapon"
xenarites,4,"Eogunn's deep knowledge and brilliant mind were put to good use by the Koronus Conclave. All his knowledge of xenos, accumulated over many years in the ranks of"
flayer,4,Part of the destroyed world of Zarkov is believed to still drift in the void of the Koronus Expanse. It is said that slumbering deep within it is a cursed lump 
giftbearers,4,Zarkov's elite Giftbearers were renowned for their incredible resilience and terrifying fanaticism. The dynasty's augmented warriors were known as fearless kill
techsorcists,4,"The Rogue Trader commands that Kiava Gamma be cleansed of every trace of heresy. Missionaries and technomats, Techsorcists and corruption hunters will make thei"
weaponsmiths,4,"Autopistols, lasguns, chainswords, and stubbers are all instruments of the Emperor's fury. Blessed are the weaponsmiths, for without them there is no Imperium."
non-humans,4,"Creations of the ungodly xenos — forbidden, yet tempting treasures. The twisted minds of non-humans can create wonders that are fascinating in their mysteriousn"
xenoflora,4,"Each day, the God-Emperor's servants suffer the loss of limbs and organs in unceasing conflict with the planet's xenoflora. By the grace of the Rogue Trader, ma"
thruster,4,"For the attempt on the lives of subjects of the von Valancius dynasty, the bastard was placed in the nozzle of a manoeuvring thruster, where the zealous machine"
volumetric,4,"The scouts carefully inspect every piece of land in the marked area and discover a camouflaged pit studded with strong, thin needles. In a niche sunk into the w"
insect-like,4,"As their accounts suggest, the planet remains littered with broken and mangled ruins of xenos origin. Insect-like constructs flicker among the ruins, like stati"
augur-clerics,4,"""Augur-clerics detect a field of void mines on our trajectory toward the planetoid."""
tripwires,4,A lavishly decorated estate of the local ruler towers over rows of featureless bunkhouses. Several explorers perished from the cleverly hidden tripwires in the 
clearch,4,"A small planet gently wrapped in amber forests greets you with a ruby-coloured dawn. Basil von dem Clearch, the local governor, gives the Rogue Trader a warm we"
crash-landed,4,"A salvo of the flagship's cannons has torn up the rocky surface of the planet, pulverising the cliffs along with the crash-landed vessel. The ravine under the l"
machsimova,4,The lights keep flickering in the bowels of the dead ship as the recolligers go through their usual tasks. Reta Machsimova sends you her best regards and asks w
vhyr,4,"Proctor Anthar examines the cloak with great reverence and reveals that it belonged to Arbitrator Vhyr, one of the most esteemed servants of the Lex Imperialis."
demir,4,Ask if Demir Shahnee has any goods of interest to sell.
swiftdeath,4,Launches a wing of 4 Swiftdeath Fighters. These attack craft are equipped with plasma cannons and deal a large amount of single-target damage.
screamer,4,The Screamer dashes into the target dealing rending damage to all enemies between its initial position and the target.
daemonette's,4,"This creature is under the Daemonette's control. This effect can be removed with medikits, Get Back in the Fight! ability, or the death of the Daemonette."
cold-blooded,4,Cold-Blooded Stance
aphe,4,Armour and deflection are significantly increased. But a single APHE shell hit can destroy this durable plating.
maatashi,4,Maatashi
excruciator,4,Excruciator Maul
blood-drenched,4,An expression of utter astonishment is frozen on the slain rebel's blood-drenched face.
xenochest,4,Pick up the xenochest
engrams,4,"""Glory be to the current of the Motive Force! May its dulcet light shine in our Noospheric coronas, may its vitality nourish our augments, may its purity wash o"
quietened,4,"""My little voices have quietened down. They're lying low, whispering somewhere in the distance, like a draught sighing through the smallest crack. I suppose I s"
gothi,4,"""Keep your eyes to yourself, gothi. They will sap my good luck."""
indomitability,4,"""Both are granted by the Omnissiah. I am an Explorator, and within my algorithms, a warrior's indomitability is meshed with a cleric's humility, like two perfec"
whoreson,4,"Theodora waves her hand in a commanding gesture. ""Mort! Take a team with you and clear a path to the transport line! Do not let a single whoreson survive!"""
parchment-like,4,"The creature in the chair appears as if it has become one with its throne: you see pink, parchment-like skin stretched between the seat and the limbs that have "
ear-splitting,4,"The roar of the flames rings in your ears, and the choking smoke makes you cough and gasp for air. You instinctively recoil from the scorching heat, wiping your"
scarus,4,"""My name is Theodora von Valancius Massimo af Scarus. I am a Rogue Trader in the service of the God-Emperor of Humanity, and my rights and freedoms are vindicat"
witch-cursed,4,Witch-Cursed World situation report
reverentially,4,"After that, I was silent, for that was the only way I could continue to watch. Technomats in dirty coveralls reverentially poured chalices of blood onto the bas"
transmechanic,4,"Master Steward's report Crew losses: 87%. Due to the death of the acting Transmechanic on the Enginseer deck, I am reporting that the damage to the ship is wide"
pale-faced,4,"""An Aeldari fleet? Elantach, I no longer believe in coincidences. Your pale-faced servant speaks of the same world that appeared to Muaran in his visions. The w"
tech-litanies,4,"""I have good news to share as well: the Heartless is fully repaired! Its hull has been considerably reinforced, and, after a complete cycle of tech-litanies, th"
chem-princes,4,"""The Chem-Princes collect tithes, flog troublemakers, protect us from bandits, and don't fight much among 'emselves... All's well."""
asuryan's,4,"Muaran's eyes shift from Yrliet to Marazhai, from Marazhai to Eklendyl, then back to Yrliet again. He exclaims indignantly, ""By Asuryan's grace, what is the mea"
blathering,4,"[Shoot at the source of the Necron's speech] ""That's enough blathering, you foul piece of scrap!"""
wide-eyed,4,"""You are an ancient nightmare from a long-forgotten past..."" Yrliet's breathing becomes unsteady as she stares wide-eyed at the being opposite you. ""I have enco"
delphim's,4,The information obtained from the Fabricator-turned-heretic reveals there has been a revolution on the industrial world. Cubis Delphim's reasons for revolting a
backstreets,4,It appears the source of the contagion was a population of mutants hiding in the backstreets of the Shadow Quarters. Eliminating them will wipe out the disease'
fidelio's,4,Uncover Fidelio's identity
all-out,4,The forces are ready and awaiting the Rogue Trader's order to commence the all-out offensive.
vitagen,4,"A mysterious mineral called vitagen can be found in the planet's crust. The Adeptus Mechanicus trace its origin to some xenos technology, although its creators "
wide-open,4,"""You are a prisoner of lies and your frail, pitiful life. I see the world from the height of the Primordial Truth and use the language to match the revelations "
xenoconstruct,4,The remains of a twisted xenoconstruct. A detailed study will require both take and connections.
thirty-four,4,"""If my calculations are correct, having factored in our movements through the warp, then I turned thirty-four a month and a half ago."" There is a pause. You can"
chartists,4,"""Most certainly, Your Lordship! The chartists who took me here were quite forthcoming and... attentive to my exacting tastes. But most importantly, they were fa"
psykana,4,"""I am guilty. I wronged them. I had been promised a great future at the Scholastica Psykana, for my talents were exceptional. But fate would not have it, and in"
grey-blue,4,"""His is such a terribly wounded soul... It has all but sunk beneath the grey-blue blisters of guilt, and they are swelling ever so rapidly. The last silvery spe"
human-like,4,"You hear an interloping voice in your head, like an echo of a distant echo. ""Your Lordship... I sense... Strangeness... Non-minds... They do not seem human-like"
self-denial,4,"""First you take stimulants to hear whispers, then you torture yourself for the perverted pleasure it gives you. Admit it: your vaunted self-denial is nothing bu"
veni'idira,4,"""Dark forces are devouring you, tearing at your soul, Veni'Idira. I could teach you techniques to clear your mind..."""
ascesis,4,"""We attach importance to other things, Veni'Cassia. Ascesis is how we achieve self-perfection. Our feats of faith are our gold, and the prayers written upon our"
lower-deckers,4,"""Lower-deckers go missing all the time. Maybe he got run over by a train."""
ld-a,4,"""There has been an outbreak of a highly contagious disease in Bay LD-A14, but the complaints from the workers there have been few — despite the many pathologies"
self-preservation,4,"""Perhaps because I live under the constant threat of an agonising death by fire, I have a repressed, uh, what's the word? Self-preservation instinct. Or maybe I"
harad,4,"""Once, my brothers and I clashed with a throng of Orks. On the fifth day of the fray, Brother Harad skewered one of the meaty bastards with his chainsword — and"
undeath,4,"""Pain has no power over my body. A single shot cannot break me. And yet..."" Kibellah puts a hand to where you saw the gaping wound. ""Before, whenever I found my"
self-proclaimed,4,"""Then that makes me a self-proclaimed judge, executioner, and idol. And it is my destiny to keep the herd fearful and obedient."""
magus's,4,"""Psychic ability, human-like appearance, high status within the cult... I believe we are looking at a so-called Magus — a psychically-gifted Genestealer cultist"
lower-decker,4,"""Scourge of the seditious or not, folk are afraid of them for a reason. A couple of watches ago, these spinners took a train driver to pieces for some kind of r"
soot-covered,4,"""Scourge of the seditious or not, folk are afraid of them for a reason. A couple of watches ago, these spinners took a train driver to pieces for some kind of r"
whoever's,4,"""They sent us bad nuts, all rusted. You'll sort it out, punish whoever's responsible! Nuts are a serious business, after all!"""
gap-toothed,4,"""Terrorise me, torment me, gratify your rotten heart, heretic! Know the strength of a martyr's spirit, and come to fear it!"" The prisoner's eyes flash as he giv"
krakens,4,"Snarling furiously, Ulfar clenches his fist. ""Many-armed poison... I smell the foul seed of the xenos. The Iron Priests say it once fell into the waters of Fenr"
passers-by,4,The hapless vendor has rusty junk on his counter and no customers at all. He peers hopefully into the faces of passers-by.
well-fed,4,"Judging by the merchant's round, well-fed face, the rusty junk laid out on the counter is merely a smokescreen for the more valuable — and likely illegal — good"
appraisingly,4,"The leader looks at your gear appraisingly and frowns. ""It matters. You better answer, or this conversation won't last long at all."""
avrilla,4,"You see familiar faces among his escort. Lieutenant Avrilla Vent of the enforcers stands shoulder to shoulder with one of the leaders of Depot 4, an elderly wom"
half-lowered,4,"The woman before you radiates an alien beauty — the bony crest on her forehead, the violet tint of her skin, and the graceful, clawed fingers give away her xeno"
pipewardens,4,"""What tattoo? What do pipewardens have to do with anything?"""
synth-coat,4,Someone has shoved a tattered and bloodied synth-coat into the vent. Such garments are included in every enforcer's uniform.
dataport,4,"Having intoned the First Galvanic Hymn, Eogunn delivers a final pulse of the Motive Force and tenderly unplugs from the master cogitator's dataport. The elder's"
f-forgive,4,"The man blanches and starts bawling. He gives up on his sinister theatrics and babbles in the voice of a common worker, ""F-forgive me, Your Lordship! I'm not Gw"
delusional,4,"""Either our suspect is delusional or he is lying. I would assume it's the latter."""
a-are,4,"""A-are you serious?"""
xeno-influence,4,"Your knowledge of xenos is enough to infer that the murdered man may have been subject to xeno-influence. True human form has not simply been distorted, but mix"
kelermorph,4,Kelermorph
voidsman's,4,"""'Expend them'? What is that supposed to mean, Lord Cap'n? Now we'll have to teach new idiots the ins and outs of the voidsman's craft!"""
alleg,4,"[Recording 17FL.2. Alleg. dissent, impious doubt]"
klotus,4,"""I am Klotus, junior cleric. I sort recordings from the shrine confessional to pass on to higher-ranking clergy."""
vox-recordings,4,"""Ours is a Throne-fearing flock that regularly leaves vox-recordings in the shrine confessional housed in the eastern part of the reliquary. This allows us to m"
bringers,4,"An inner fire lights up Argenta's face. ""You believe you have been chosen for missionary work? Do you know what hardships the bringers of His word must endure? "
warp-active,4,"""I discovered a warp-active mineral on Thassera and ordered it be studied. If this resource proves sufficiently useful to the Imperium, you must include it in t"
astrogational,4,"""A fringe world of no value to the Imperium. By order of Lady Theodora, it was stricken from all astrogational data."" The Marshal grimly works his jaw as he loo"
heartless's,4,"The Heartless's status report states that while the ship took a beating when attempting to enter the warp, it has passed that trial and remains fit for service."
old-fashioned,4,"""We have lost contact with the arsenal. No matter. What we need now is not macro-cannons but good old-fashioned carnage!"""
sinister-looking,4,A sinister-looking device that blends Imperial technology with the unholy knowledge of the xenos. Sargona used it to take his psyker abilities to their absolute
vog'haik'sameth,4,"""Vog'Haik'Sameth, do you hear me?"""
redacted,4,"Behind the fake slate stating that all data on this servo-skull's provenance was deleted, a hidden section is revealed. An inscription inside it reads, ""Adept o"
exaction,4,"""An exaction squad... I see. A well-warranted measure."""
emmerson,4,"""It's about what really pushed me into the pit of anger."" Solomorne closes his eyes, and when he opens them again, he begins to speak with lifeless detachment: "
pah,4,"""Requestioning formation on the location of— Pah! Good sirs, is he gone? Can I come out? Sirs?"""
one-eye,4,"""Aren't you that One-Eye fellow? Should I give Murgeth your regards? She's waiting for me up ahead!"""
dim-witted,4,"""You are nothing but a pair of dim-witted lickspittles. But mere stupidity hardly warrants an execution. Get out of my sight!"""
cup-bearer,4,"Dark-maroon amasec is pouring out of the ridiculously gaudy fountain. An eager cup-bearer hands you a goblet filled to the brim. ""Have a taste, if you please, m"
m'lord,4,"""But I don't want no reward, m'lord! I want to get back home!"" The woman hangs her head and clutches the lace frills on her dress. Her breathing stutters as she"
